date,product_id,product_category,day_of_week,month,is_weekend,price,discount_percent,stock_level,competitor_price,sales_quantity
2022-01-01,1,Category_1,5,1,1,116.99,30,156,129.38,87
2022-01-01,2,Category_1,5,1,1,128.8,0,422,137.84,107
2022-01-01,3,Category_1,5,1,1,166.66,0,307,182.39,88
2022-01-01,4,Category_1,5,1,1,176.39,0,237,180.5,93
2022-01-01,5,Category_1,5,1,1,198.24,0,100,203.49,103
2022-01-01,6,Category_2,5,1,1,235.84,0,378,227.11,109
2022-01-01,7,Category_2,5,1,1,261.55,30,291,268.63,153
2022-01-01,8,Category_2,5,1,1,265.72,10,84,300.76,124
2022-01-01,9,Category_2,5,1,1,266.49,0,51,275.83,137
2022-01-01,10,Category_2,5,1,1,271.88,10,93,309.37,144
2022-01-01,11,Category_3,5,1,1,345.27,0,353,350.55,147
2022-01-01,12,Category_3,5,1,1,371.36,10,286,372.95,185
2022-01-01,13,Category_3,5,1,1,383.67,0,301,411.07,143
2022-01-01,14,Category_3,5,1,1,354.56,0,58,391.59,160
2022-01-01,15,Category_3,5,1,1,375.9,0,188,372.05,187
2022-01-01,16,Category_4,5,1,1,428.9,20,90,485.94,219
2022-01-01,17,Category_4,5,1,1,470.8,0,82,453.25,168
2022-01-01,18,Category_4,5,1,1,481.12,0,84,502.51,176
2022-01-01,19,Category_4,5,1,1,443.48,0,306,485.32,199
2022-01-01,20,Category_4,5,1,1,454.04,0,395,433.65,208
2022-01-02,1,Category_1,6,1,1,110.59,0,280,115.57,96
2022-01-02,2,Category_1,6,1,1,129.9,0,192,143.04,91
2022-01-02,3,Category_1,6,1,1,151.32,0,236,164.78,95
2022-01-02,4,Category_1,6,1,1,172.64,0,333,191.76,107
2022-01-02,5,Category_1,6,1,1,187.46,10,380,190.25,114
2022-01-02,6,Category_2,6,1,1,237.9,0,332,246.33,97
2022-01-02,7,Category_2,6,1,1,255.26,10,408,250.91,111
2022-01-02,8,Category_2,6,1,1,270.01,0,201,307.42,151
2022-01-02,9,Category_2,6,1,1,270.1,0,282,278.41,133
2022-01-02,10,Category_2,6,1,1,284.81,0,436,287.71,141
2022-01-02,11,Category_3,6,1,1,306.23,0,162,350.73,143
2022-01-02,12,Category_3,6,1,1,329.46,0,175,322.54,153
2022-01-02,13,Category_3,6,1,1,359.24,30,465,383.86,204
2022-01-02,14,Category_3,6,1,1,360.4,10,374,387.96,179
2022-01-02,15,Category_3,6,1,1,410.68,0,289,455.72,170
2022-01-02,16,Category_4,6,1,1,436.45,10,301,473.77,181
2022-01-02,17,Category_4,6,1,1,397.46,0,196,405.3,199
2022-01-02,18,Category_4,6,1,1,491.07,0,490,477.66,161
2022-01-02,19,Category_4,6,1,1,520.77,10,148,518.54,193
2022-01-02,20,Category_4,6,1,1,549.63,30,86,619.17,256
2022-01-03,1,Category_1,0,1,0,112.53,0,196,123.24,71
2022-01-03,2,Category_1,0,1,0,128.36,0,471,139.11,84
2022-01-03,3,Category_1,0,1,0,162.58,0,148,186.11,64
2022-01-03,4,Category_1,0,1,0,179.48,0,494,178.56,69
2022-01-03,5,Category_1,0,1,0,208.49,0,326,205.52,97
2022-01-03,6,Category_2,0,1,0,229.72,0,225,222.54,82
2022-01-03,7,Category_2,0,1,0,233.65,0,287,249.53,98
2022-01-03,8,Category_2,0,1,0,281.12,0,326,295.32,103
2022-01-03,9,Category_2,0,1,0,284.31,0,366,298.48,123
2022-01-03,10,Category_2,0,1,0,272.62,30,207,311.0,160
2022-01-03,11,Category_3,0,1,0,346.55,0,282,395.28,121
2022-01-03,12,Category_3,0,1,0,344.92,30,165,347.98,143
2022-01-03,13,Category_3,0,1,0,351.73,10,305,368.28,133
2022-01-03,14,Category_3,0,1,0,406.16,20,223,393.75,143
2022-01-03,15,Category_3,0,1,0,409.2,30,499,409.54,174
2022-01-03,16,Category_4,0,1,0,449.29,0,295,459.13,132
2022-01-03,17,Category_4,0,1,0,421.84,10,404,422.36,166
2022-01-03,18,Category_4,0,1,0,414.48,0,69,447.63,170
2022-01-03,19,Category_4,0,1,0,499.39,0,420,508.18,155
2022-01-03,20,Category_4,0,1,0,507.83,0,202,498.18,168
2022-01-04,1,Category_1,1,1,0,131.56,10,107,125.79,57
2022-01-04,2,Category_1,1,1,0,140.62,0,157,151.11,65
2022-01-04,3,Category_1,1,1,0,146.73,0,421,151.47,70
2022-01-04,4,Category_1,1,1,0,166.78,30,155,169.21,112
2022-01-04,5,Category_1,1,1,0,211.81,0,141,232.74,76
2022-01-04,6,Category_2,1,1,0,201.56,0,445,207.97,90
2022-01-04,7,Category_2,1,1,0,224.32,0,339,223.86,102
2022-01-04,8,Category_2,1,1,0,260.87,0,118,279.74,109
2022-01-04,9,Category_2,1,1,0,275.5,0,193,270.46,106
2022-01-04,10,Category_2,1,1,0,275.51,0,143,308.87,111
2022-01-04,11,Category_3,1,1,0,333.03,0,267,367.23,112
2022-01-04,12,Category_3,1,1,0,337.6,0,299,362.3,137
2022-01-04,13,Category_3,1,1,0,369.73,0,272,352.37,130
2022-01-04,14,Category_3,1,1,0,382.99,0,65,369.25,145
2022-01-04,15,Category_3,1,1,0,411.39,0,433,443.19,147
2022-01-04,16,Category_4,1,1,0,426.16,0,494,451.36,158
2022-01-04,17,Category_4,1,1,0,478.85,0,466,517.3,141
2022-01-04,18,Category_4,1,1,0,433.74,0,302,420.25,156
2022-01-04,19,Category_4,1,1,0,497.57,0,313,511.04,152
2022-01-04,20,Category_4,1,1,0,476.07,0,363,518.61,189
2022-01-05,1,Category_1,2,1,0,123.09,10,469,127.23,69
2022-01-05,2,Category_1,2,1,0,137.86,0,276,158.27,74
2022-01-05,3,Category_1,2,1,0,157.2,0,145,160.06,90
2022-01-05,4,Category_1,2,1,0,189.16,0,322,199.92,74
2022-01-05,5,Category_1,2,1,0,199.86,0,446,225.67,89
2022-01-05,6,Category_2,2,1,0,239.83,0,416,231.83,86
2022-01-05,7,Category_2,2,1,0,220.4,0,485,239.03,109
2022-01-05,8,Category_2,2,1,0,275.06,0,91,314.9,107
2022-01-05,9,Category_2,2,1,0,307.77,0,212,347.03,95
2022-01-05,10,Category_2,2,1,0,278.58,0,450,270.28,115
2022-01-05,11,Category_3,2,1,0,293.38,0,219,301.99,109
2022-01-05,12,Category_3,2,1,0,345.53,10,391,384.42,138
2022-01-05,13,Category_3,2,1,0,392.2,30,181,400.06,162
2022-01-05,14,Category_3,2,1,0,370.73,0,251,419.39,158
2022-01-05,15,Category_3,2,1,0,368.9,0,190,380.35,165
2022-01-05,16,Category_4,2,1,0,442.44,10,472,486.34,164
2022-01-05,17,Category_4,2,1,0,447.34,30,240,467.71,200
2022-01-05,18,Category_4,2,1,0,454.14,10,222,519.53,169
2022-01-05,19,Category_4,2,1,0,436.14,10,423,494.99,190
2022-01-05,20,Category_4,2,1,0,519.54,0,96,558.96,171
2022-01-06,1,Category_1,3,1,0,124.7,0,422,135.84,76
2022-01-06,2,Category_1,3,1,0,151.63,30,321,171.04,78
2022-01-06,3,Category_1,3,1,0,158.58,0,57,156.03,62
2022-01-06,4,Category_1,3,1,0,170.26,0,406,194.93,98
2022-01-06,5,Category_1,3,1,0,219.45,0,194,220.75,99
2022-01-06,6,Category_2,3,1,0,209.92,0,84,233.96,79
2022-01-06,7,Category_2,3,1,0,261.59,0,352,296.6,81
2022-01-06,8,Category_2,3,1,0,255.39,0,195,293.04,106
2022-01-06,9,Category_2,3,1,0,260.42,0,112,267.87,115
2022-01-06,10,Category_2,3,1,0,273.81,0,434,260.87,132
2022-01-06,11,Category_3,3,1,0,292.82,0,246,336.73,125
2022-01-06,12,Category_3,3,1,0,358.29,20,132,358.1,148
2022-01-06,13,Category_3,3,1,0,356.44,0,100,358.2,136
2022-01-06,14,Category_3,3,1,0,399.53,0,144,388.63,131
2022-01-06,15,Category_3,3,1,0,413.73,0,167,461.83,150
2022-01-06,16,Category_4,3,1,0,459.31,0,300,473.41,136
2022-01-06,17,Category_4,3,1,0,407.79,0,256,451.4,172
2022-01-06,18,Category_4,3,1,0,497.09,0,275,507.09,159
2022-01-06,19,Category_4,3,1,0,488.63,0,396,473.09,168
2022-01-06,20,Category_4,3,1,0,495.09,20,79,531.93,225
2022-01-07,1,Category_1,4,1,0,128.7,20,437,134.09,77
2022-01-07,2,Category_1,4,1,0,127.85,0,311,134.06,77
2022-01-07,3,Category_1,4,1,0,154.52,0,289,157.35,54
2022-01-07,4,Category_1,4,1,0,183.05,0,449,197.36,100
2022-01-07,5,Category_1,4,1,0,187.28,0,244,210.66,93
2022-01-07,6,Category_2,4,1,0,224.49,0,326,220.85,91
2022-01-07,7,Category_2,4,1,0,229.37,0,454,243.08,78
2022-01-07,8,Category_2,4,1,0,280.5,0,267,305.21,104
2022-01-07,9,Category_2,4,1,0,254.2,0,170,276.46,102
2022-01-07,10,Category_2,4,1,0,292.64,0,341,325.19,116
2022-01-07,11,Category_3,4,1,0,335.89,0,256,355.14,117
2022-01-07,12,Category_3,4,1,0,357.68,0,435,393.26,123
2022-01-07,13,Category_3,4,1,0,326.64,0,56,355.2,143
2022-01-07,14,Category_3,4,1,0,344.32,10,343,363.78,165
2022-01-07,15,Category_3,4,1,0,379.4,0,77,361.95,136
2022-01-07,16,Category_4,4,1,0,405.51,0,194,413.05,145
2022-01-07,17,Category_4,4,1,0,437.71,0,282,459.46,156
2022-01-07,18,Category_4,4,1,0,467.99,0,418,497.42,150
2022-01-07,19,Category_4,4,1,0,468.36,0,229,505.45,149
2022-01-07,20,Category_4,4,1,0,548.65,0,338,522.05,173
2022-01-08,1,Category_1,5,1,1,113.41,0,161,111.38,72
2022-01-08,2,Category_1,5,1,1,130.85,10,296,125.66,85
2022-01-08,3,Category_1,5,1,1,144.58,0,457,140.59,97
2022-01-08,4,Category_1,5,1,1,193.16,10,418,202.46,101
2022-01-08,5,Category_1,5,1,1,208.92,10,243,221.73,94
2022-01-08,6,Category_2,5,1,1,231.86,0,167,253.23,112
2022-01-08,7,Category_2,5,1,1,225.58,0,189,219.48,105
2022-01-08,8,Category_2,5,1,1,264.22,0,405,267.96,131
2022-01-08,9,Category_2,5,1,1,285.26,0,59,302.29,115
2022-01-08,10,Category_2,5,1,1,311.07,0,368,337.92,137
2022-01-08,11,Category_3,5,1,1,336.65,0,457,360.63,138
2022-01-08,12,Category_3,5,1,1,363.85,0,483,354.7,148
2022-01-08,13,Category_3,5,1,1,376.62,20,125,386.36,187
2022-01-08,14,Category_3,5,1,1,345.66,0,316,383.35,176
2022-01-08,15,Category_3,5,1,1,376.13,0,262,371.35,184
2022-01-08,16,Category_4,5,1,1,454.26,0,91,467.2,159
2022-01-08,17,Category_4,5,1,1,467.86,0,63,528.65,187
2022-01-08,18,Category_4,5,1,1,454.36,0,194,513.39,216
2022-01-08,19,Category_4,5,1,1,468.85,0,153,466.89,179
2022-01-08,20,Category_4,5,1,1,483.28,0,91,472.58,224
2022-01-09,1,Category_1,6,1,1,127.06,0,280,135.27,83
2022-01-09,2,Category_1,6,1,1,130.01,0,371,143.33,92
2022-01-09,3,Category_1,6,1,1,172.06,0,343,181.91,78
2022-01-09,4,Category_1,6,1,1,183.74,0,185,180.06,73
2022-01-09,5,Category_1,6,1,1,189.17,0,179,180.17,119
2022-01-09,6,Category_2,6,1,1,229.51,0,197,226.37,128
2022-01-09,7,Category_2,6,1,1,259.61,0,249,268.62,120
2022-01-09,8,Category_2,6,1,1,281.42,0,259,301.76,104
2022-01-09,9,Category_2,6,1,1,253.01,10,405,286.85,163
2022-01-09,10,Category_2,6,1,1,292.47,0,100,320.92,146
2022-01-09,11,Category_3,6,1,1,347.8,20,456,338.95,160
2022-01-09,12,Category_3,6,1,1,318.67,10,50,358.18,167
2022-01-09,13,Category_3,6,1,1,361.36,0,198,370.7,150
2022-01-09,14,Category_3,6,1,1,401.87,0,340,413.78,167
2022-01-09,15,Category_3,6,1,1,402.99,20,435,420.38,214
2022-01-09,16,Category_4,6,1,1,427.31,0,300,417.99,177
2022-01-09,17,Category_4,6,1,1,411.52,0,247,393.73,202
2022-01-09,18,Category_4,6,1,1,439.54,0,419,475.89,190
2022-01-09,19,Category_4,6,1,1,449.09,30,226,476.69,269
2022-01-09,20,Category_4,6,1,1,468.45,0,273,451.31,224
2022-01-10,1,Category_1,0,1,0,126.0,0,260,128.5,84
2022-01-10,2,Category_1,0,1,0,136.58,10,68,131.54,71
2022-01-10,3,Category_1,0,1,0,168.82,0,243,178.42,67
2022-01-10,4,Category_1,0,1,0,189.55,0,313,212.75,42
2022-01-10,5,Category_1,0,1,0,217.84,0,415,229.89,94
2022-01-10,6,Category_2,0,1,0,209.17,0,304,199.54,72
2022-01-10,7,Category_2,0,1,0,221.0,0,116,249.17,118
2022-01-10,8,Category_2,0,1,0,275.88,30,337,309.3,134
2022-01-10,9,Category_2,0,1,0,298.49,0,214,291.99,88
2022-01-10,10,Category_2,0,1,0,275.22,0,210,272.9,110
2022-01-10,11,Category_3,0,1,0,289.7,0,85,312.46,131
2022-01-10,12,Category_3,0,1,0,348.48,0,435,356.36,127
2022-01-10,13,Category_3,0,1,0,326.46,10,342,336.87,131
2022-01-10,14,Category_3,0,1,0,364.38,20,391,402.99,185
2022-01-10,15,Category_3,0,1,0,369.14,0,108,416.72,145
2022-01-10,16,Category_4,0,1,0,379.89,0,89,413.99,170
2022-01-10,17,Category_4,0,1,0,431.42,0,327,481.9,156
2022-01-10,18,Category_4,0,1,0,429.79,0,124,479.01,169
2022-01-10,19,Category_4,0,1,0,482.85,10,90,485.17,202
2022-01-10,20,Category_4,0,1,0,532.97,0,411,521.25,173
2022-01-11,1,Category_1,1,1,0,114.33,0,268,122.27,81
2022-01-11,2,Category_1,1,1,0,130.91,20,459,134.95,95
2022-01-11,3,Category_1,1,1,0,168.67,0,179,165.85,69
2022-01-11,4,Category_1,1,1,0,183.71,0,198,205.28,81
2022-01-11,5,Category_1,1,1,0,197.49,20,236,199.35,94
2022-01-11,6,Category_2,1,1,0,227.2,20,118,237.82,134
2022-01-11,7,Category_2,1,1,0,228.96,0,276,256.04,103
2022-01-11,8,Category_2,1,1,0,258.66,0,345,283.4,93
2022-01-11,9,Category_2,1,1,0,279.75,0,91,291.48,119
2022-01-11,10,Category_2,1,1,0,327.73,0,106,340.57,103
2022-01-11,11,Category_3,1,1,0,299.85,0,265,330.34,137
2022-01-11,12,Category_3,1,1,0,355.24,0,249,355.22,130
2022-01-11,13,Category_3,1,1,0,359.24,0,459,344.98,129
2022-01-11,14,Category_3,1,1,0,386.71,30,331,411.3,178
2022-01-11,15,Category_3,1,1,0,433.24,0,166,474.92,135
2022-01-11,16,Category_4,1,1,0,413.43,0,272,464.04,149
2022-01-11,17,Category_4,1,1,0,470.32,0,152,450.29,135
2022-01-11,18,Category_4,1,1,0,425.09,0,342,448.92,172
2022-01-11,19,Category_4,1,1,0,474.34,0,88,480.53,182
2022-01-11,20,Category_4,1,1,0,481.88,0,65,498.92,177
2022-01-12,1,Category_1,2,1,0,129.04,0,276,145.04,68
2022-01-12,2,Category_1,2,1,0,148.37,30,78,163.71,87
2022-01-12,3,Category_1,2,1,0,156.86,0,234,167.24,68
2022-01-12,4,Category_1,2,1,0,165.3,0,389,181.42,68
2022-01-12,5,Category_1,2,1,0,189.55,0,191,191.33,93
2022-01-12,6,Category_2,2,1,0,223.92,0,486,256.96,98
2022-01-12,7,Category_2,2,1,0,236.53,0,393,230.59,104
2022-01-12,8,Category_2,2,1,0,285.08,10,393,297.48,93
2022-01-12,9,Category_2,2,1,0,286.35,0,101,275.76,119
2022-01-12,10,Category_2,2,1,0,283.83,10,415,282.74,126
2022-01-12,11,Category_3,2,1,0,299.3,0,290,341.63,129
2022-01-12,12,Category_3,2,1,0,348.82,0,58,396.11,129
2022-01-12,13,Category_3,2,1,0,395.63,0,468,435.85,117
2022-01-12,14,Category_3,2,1,0,404.0,0,169,444.23,138
2022-01-12,15,Category_3,2,1,0,362.79,10,406,351.29,161
2022-01-12,16,Category_4,2,1,0,388.88,10,458,435.72,176
2022-01-12,17,Category_4,2,1,0,399.12,0,74,423.13,160
2022-01-12,18,Category_4,2,1,0,448.29,0,438,430.25,155
2022-01-12,19,Category_4,2,1,0,483.13,30,225,524.99,181
2022-01-12,20,Category_4,2,1,0,509.24,10,105,551.21,179
2022-01-13,1,Category_1,3,1,0,121.05,10,338,136.27,75
2022-01-13,2,Category_1,3,1,0,149.82,10,218,152.33,84
2022-01-13,3,Category_1,3,1,0,151.64,20,405,162.82,85
2022-01-13,4,Category_1,3,1,0,193.71,10,80,216.02,89
2022-01-13,5,Category_1,3,1,0,185.15,0,207,209.55,81
2022-01-13,6,Category_2,3,1,0,206.5,0,204,236.7,103
2022-01-13,7,Category_2,3,1,0,246.33,0,237,234.46,94
2022-01-13,8,Category_2,3,1,0,248.73,0,282,284.2,107
2022-01-13,9,Category_2,3,1,0,271.14,0,271,298.46,105
2022-01-13,10,Category_2,3,1,0,316.25,20,241,345.23,139
2022-01-13,11,Category_3,3,1,0,292.31,0,242,281.08,146
2022-01-13,12,Category_3,3,1,0,346.42,0,78,330.63,117
2022-01-13,13,Category_3,3,1,0,347.3,0,484,347.47,141
2022-01-13,14,Category_3,3,1,0,349.77,10,320,387.88,157
2022-01-13,15,Category_3,3,1,0,415.49,0,179,458.94,136
2022-01-13,16,Category_4,3,1,0,450.92,30,489,467.36,183
2022-01-13,17,Category_4,3,1,0,479.04,0,492,547.49,144
2022-01-13,18,Category_4,3,1,0,442.7,0,471,440.92,179
2022-01-13,19,Category_4,3,1,0,452.46,0,330,494.53,159
2022-01-13,20,Category_4,3,1,0,504.32,0,194,488.3,197
2022-01-14,1,Category_1,4,1,0,111.69,0,99,123.1,55
2022-01-14,2,Category_1,4,1,0,126.91,20,436,125.27,89
2022-01-14,3,Category_1,4,1,0,158.79,0,322,170.13,78
2022-01-14,4,Category_1,4,1,0,170.12,0,263,181.41,66
2022-01-14,5,Category_1,4,1,0,190.76,0,444,218.78,87
2022-01-14,6,Category_2,4,1,0,227.94,0,144,249.45,78
2022-01-14,7,Category_2,4,1,0,247.54,0,151,280.1,105
2022-01-14,8,Category_2,4,1,0,241.59,0,95,236.39,115
2022-01-14,9,Category_2,4,1,0,279.94,0,197,285.31,109
2022-01-14,10,Category_2,4,1,0,322.95,0,126,311.88,102
2022-01-14,11,Category_3,4,1,0,313.4,0,408,310.32,131
2022-01-14,12,Category_3,4,1,0,308.8,0,409,332.67,137
2022-01-14,13,Category_3,4,1,0,374.87,0,311,402.35,114
2022-01-14,14,Category_3,4,1,0,413.08,20,397,458.66,167
2022-01-14,15,Category_3,4,1,0,387.16,10,56,418.97,182
2022-01-14,16,Category_4,4,1,0,443.84,0,176,468.38,156
2022-01-14,17,Category_4,4,1,0,460.38,0,61,460.11,141
2022-01-14,18,Category_4,4,1,0,486.65,0,356,478.06,151
2022-01-14,19,Category_4,4,1,0,434.0,0,86,498.78,175
2022-01-14,20,Category_4,4,1,0,469.95,0,142,485.78,178
2022-01-15,1,Category_1,5,1,1,112.89,10,354,126.84,95
2022-01-15,2,Category_1,5,1,1,137.91,0,413,152.19,92
2022-01-15,3,Category_1,5,1,1,160.16,0,484,170.68,106
2022-01-15,4,Category_1,5,1,1,179.52,10,467,199.01,101
2022-01-15,5,Category_1,5,1,1,206.2,30,235,233.52,137
2022-01-15,6,Category_2,5,1,1,225.79,0,404,249.54,96
2022-01-15,7,Category_2,5,1,1,235.45,0,347,234.87,118
2022-01-15,8,Category_2,5,1,1,246.86,10,160,263.79,151
2022-01-15,9,Category_2,5,1,1,284.45,0,280,279.53,133
2022-01-15,10,Category_2,5,1,1,285.49,0,498,315.38,140
2022-01-15,11,Category_3,5,1,1,296.38,30,352,295.47,193
2022-01-15,12,Category_3,5,1,1,328.5,0,381,366.53,164
2022-01-15,13,Category_3,5,1,1,355.02,0,220,404.63,152
2022-01-15,14,Category_3,5,1,1,370.83,0,224,401.52,154
2022-01-15,15,Category_3,5,1,1,397.97,10,93,413.6,191
2022-01-15,16,Category_4,5,1,1,423.35,0,383,407.02,189
2022-01-15,17,Category_4,5,1,1,442.74,20,334,477.28,216
2022-01-15,18,Category_4,5,1,1,422.15,0,228,404.55,195
2022-01-15,19,Category_4,5,1,1,446.24,30,265,485.15,269
2022-01-15,20,Category_4,5,1,1,475.42,0,456,515.06,216
2022-01-16,1,Category_1,6,1,1,111.35,0,350,108.98,79
2022-01-16,2,Category_1,6,1,1,130.55,0,313,128.1,86
2022-01-16,3,Category_1,6,1,1,151.51,30,224,164.92,119
2022-01-16,4,Category_1,6,1,1,184.24,10,281,203.35,125
2022-01-16,5,Category_1,6,1,1,184.52,0,338,197.46,115
2022-01-16,6,Category_2,6,1,1,213.34,0,241,204.73,130
2022-01-16,7,Category_2,6,1,1,262.9,0,225,289.32,109
2022-01-16,8,Category_2,6,1,1,239.67,0,151,243.37,123
2022-01-16,9,Category_2,6,1,1,289.39,10,131,325.73,149
2022-01-16,10,Category_2,6,1,1,292.54,0,138,297.13,135
2022-01-16,11,Category_3,6,1,1,328.33,0,192,357.59,133
2022-01-16,12,Category_3,6,1,1,322.15,0,477,306.99,134
2022-01-16,13,Category_3,6,1,1,366.27,0,379,403.58,188
2022-01-16,14,Category_3,6,1,1,414.31,10,461,395.72,174
2022-01-16,15,Category_3,6,1,1,387.3,0,353,412.87,198
2022-01-16,16,Category_4,6,1,1,442.25,10,413,504.65,199
2022-01-16,17,Category_4,6,1,1,397.6,0,385,429.21,192
2022-01-16,18,Category_4,6,1,1,499.29,0,326,522.17,188
2022-01-16,19,Category_4,6,1,1,450.68,0,422,453.82,215
2022-01-16,20,Category_4,6,1,1,503.92,0,469,551.05,200
2022-01-17,1,Category_1,0,1,0,117.6,30,139,114.58,88
2022-01-17,2,Category_1,0,1,0,131.08,0,120,132.27,61
2022-01-17,3,Category_1,0,1,0,169.39,0,489,193.54,86
2022-01-17,4,Category_1,0,1,0,181.81,0,411,176.8,79
2022-01-17,5,Category_1,0,1,0,180.1,0,326,202.95,83
2022-01-17,6,Category_2,0,1,0,224.88,0,174,254.38,84
2022-01-17,7,Category_2,0,1,0,252.96,0,396,279.8,103
